SEX,CURICULUM,LOCAL_CAPITAL,PREV_DEGREE,GPA,RELIGION,FUND,CUM_GPA,COUNT_TERM,PARENTS_INCOME,PARENTS_MARRIED,DROPOUT
0,0,0,0,2.93,0,0,2.72,1,34000,1,1
0,0,0,1,3.33,0,0,2.57,1,10000,1,1
1,0,1,0,3.21,0,0,3.04,1,7500,2,1
1,0,1,0,3,0,0,2.58,1,4250,3,1
1,0,1,0,3.25,0,0,3.07,1,11000,1,1
1,0,0,0,3.62,0,0,3.53,1,6000,1,1
1,0,1,0,3.45,0,0,3.06,1,9000,1,1
0,0,0,0,3.04,0,0,3.55,1,5000,2,1
0,0,1,0,3.09,0,0,3.14,1,25000,1,1
0,0,1,0,3.4,0,0,2.74,1,3250,0,1
1,0,1,0,3.21,0,0,2.54,1,6000,0,1
1,0,1,0,3.37,1,0,3.03,1,5000,1,1
1,0,1,0,3.2,0,0,3.39,1,21000,1,1
0,0,1,0,2.62,0,0,3.22,1,7500,1,1
1,0,0,0,3.17,0,0,2.34,3,22500,1,1
0,0,0,0,3.39,0,0,3.32,1,10000,1,1
1,0,0,0,3.69,0,0,2.64,1,5000,1,1
0,0,0,0,3.02,0,0,3.16,1,45000,1,1
0,0,1,0,3.66,0,0,3.34,1,34000,1,1
0,1,0,0,2.97,0,0,2.64,1,19762,1,1
1,1,0,0,3.01,0,0,2.7,1,15000,1,1
1,1,0,0,3.15,0,0,3.46,1,4250,1,1
1,1,1,0,3.26,0,0,2.69,1,30000,1,1
1,1,1,0,3.04,0,0,2.59,1,25000,1,1
1,1,1,0,2.86,0,0,2.52,1,10000,1,1
1,1,1,0,2.86,1,0,2.35,1,5000,1,1
1,1,1,0,2.73,0,0,3.34,1,4000,1,1
1,1,0,0,3.11,0,0,2.81,1,4000,1,1
1,1,1,0,3.07,0,0,2.73,1,4750,1,1
0,1,0,0,3.15,0,0,3.48,1,3000,1,1
0,1,1,0,3.35,0,0,2.63,1,6750,1,1
0,1,0,0,3.26,0,0,2.22,2,7500,1,1
0,1,1,0,3.04,1,0,1.88,1,9500,1,0
1,0,0,0,3.29,0,0,3.01,3,17500,1,1
0,1,0,0,2.42,0,0,1.96,10,15000,1,0
0,1,1,0,2.2,1,0,1.88,13,10000,1,0
0,1,0,0,2.5,0,0,3.01,10,6750,1,1
0,1,0,0,2.53,0,0,3.03,8,18000,1,1
0,1,1,0,2.77,0,0,3.04,9,10000,1,1
1,1,0,0,2.82,0,0,2.83,9,4000,1,1
1,1,1,0,2.61,0,0,2.52,9,20000,1,1
1,1,0,0,2.98,0,0,1.83,6,4500,0,0
1,1,0,0,2.25,0,0,2.4,11,6500,0,1
1,1,1,0,3.49,0,0,3.06,9,8000,1,1
1,1,1,0,2.84,0,0,2.21,11,17500,1,1
1,0,1,0,3.64,0,1,3.52,8,11500,1,1
1,0,1,2,3.41,0,0,2.12,13,12000,1,1
1,0,0,2,3.44,0,0,2.96,8,27500,1,1
1,0,1,0,3.34,0,0,2.48,9,10000,1,1
1,0,1,0,3.04,0,0,2.74,9,15000,1,1
1,0,1,2,3.15,0,0,2.26,11,17500,0,1
0,0,1,0,3.42,0,0,3.1,8,7500,1,1
1,0,1,0,2.96,0,0,3.08,8,35000,1,1
1,0,1,2,3.88,0,0,3.59,9,3750,1,1
1,0,1,0,2.64,1,0,1.97,7,55000,1,0
1,0,1,2,2.58,0,0,2.44,10,10000,3,1
0,0,1,2,3.41,0,0,3.08,8,13995,1,1
